County,Raw Address,Notes,Name,source
Fulton,"130 Peachtree Street, SW, Atlanta, GA 30303",Boxes located on Peachtree & Pryor,Fulton County Government Center,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,4055 Flat Shoals Road Union City GA 30291,,Gladys S. Dennard Library at South Fulton,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,8100 Holcomb Bridge Road Alpharetta GA 30022,,Johns Creek Environmental Campus,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,"1463 Pryor Road, SW, Atlanta, GA 30315",,Louise Watley Library at Southeast Atlanta,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,"400 Formwalt Street, Atlanta, GA 30312",,Mechanicsville Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,1332 Metropolitan Parkway Atlanta GA 30310,,Metropolitan Branch Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,855 Mayfield Road Milton GA 30009,,Milton Branch Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,7741 Roswell Road Sandy Springs GA 30350,,North Fulton Service Center,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,5025 Roswell Road Atlanta GA 30342,,North Training Center,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,"9560 Spruill Road, Alpharetta GA 30022",,Northeast /Spruill Oaks Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,"3295 Northside Parkway, NW, Atlanta, GA 30327",,Northside Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,"2489 Perry Boulevard, NW Atlanta GA 30318",,Northwest Branch Library at Scotts Crossing,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,9111 Cascade Palmetto Highway Palmetto GA 30268,,Palmetto Branch Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,"980 Ponce De Leon Ave NE, Atlanta, GA 30306",,Ponce De Leon Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,5090 Abbotts Bridge Road Johns Creek GA 30005,,Robert E. Fulton Regional Library at Ocee,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,115 Norcross Street Roswell GA 30075,,Roswell Branch Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,"395 Mt Vernon Highway, NE Sandy Springs GA 30328",,Sandy Springs Branch Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,5600 Stonewall Tell Road College Park GA 30349,,South Fulton Service Center,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,"1116 Martin Luther King Jr Drive, Atlanta, GA 30314",,Washington Park Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Fulton,"525 Peeples Street SW, Atlanta, GA 30310",,West End Library,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
